id_ocorrencia,local_ocorrencia,latitude_ocorrencia,longitude_ocorrencia,data_ocorrencia,hora_ocorrencia,presen_agen_segur_ocorrencia,qtd_morto_civil_ocorrencia,qtd_morto_agen_segur_ocorrencia,qtd_ferido_civil_ocorrencia,qtd_ferido_agen_segur_ocorrencia,fonte_ocorrencia,estado_id,cidade_id,nome_cidade,cod_ibge_cidade,gentilico_cidade,populacao_cidade,area_cidade,densidade_demo_cidade,nome_estado,uf_estado,cod_ibge_estado
96,"Rua Baronesa de Uruguaiana - Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",-22.911775589,-43.2781181335,2016-07-06,18:05:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
98,"Rua Valinhos - Engenho da Rainha, Rio de Janeiro - RJ, Brasil",-22.8636283875,-43.2955589294,2016-07-06,20:17:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
100,"Estrada do Páu-Ferro - Pechincha, RJ, Brasil",-22.9277915955,-43.3439826965,2016-07-06,20:47:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
105,"Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9196510315,-43.684387207,2016-07-06,21:45:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
106,"Rua Marcolino - Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9293460846,-43.6625289917,2016-07-06,20:48:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
113,"Avenida Cesário de Melo - Santa Cruz, Rio de Janeiro - RJ, Brasil",-22.9142894745,-43.6025466919,2016-07-06,23:01:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
114,"Maré, Rio de Janeiro - RJ, Brasil",-22.8574962616,-43.2430152893,2016-07-06,23:28:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
115,"Quintino Bocaiuva, Rio de Janeiro - RJ, Brasil",-22.8936595917,-43.3217468262,2016-07-06,23:30:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
116,"Cidade de Deus, Rio de Janeiro - RJ, Brasil",-22.9481697083,-43.3626708984,2016-07-06,23:43:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
117,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, Brasil",-22.86277771,-43.3152770996,2016-07-06,23:45:00,1,0,0,1,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
118,"Morro Sao Joao - Sampaio, Rio de Janeiro - RJ, Brasil",-22.9077777863,-43.2616653442,2016-07-06,23:00:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
120,"Jacarezinho, Rio de Janeiro - RJ, Brasil",-22.8875579834,-43.2581939697,2016-07-07,0:15:00,0,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
121,"Morro Sao Joao - Sampaio, Rio de Janeiro - RJ, Brasil",-22.9077777863,-43.2616653442,2016-07-07,0:25:00,1,0,0,0,0,0,19,3661,Rio de Janeiro,3304557,carioca,6320446,119746,5.27,Rio de Janeiro,RJ,33
