,timezone,tweet,hashtags,photos,retweets_count,replies_count,video,place
49,-3.0,procuradores e defensores federais acusam witzel de uso ilegal de “caveirão aéreo” no rio  https://www.diariodocentrodomundo.com.br/essencial/procuradores-e-defensores-federais-acusam-witzel-de-uso-ilegal-de-caveirao-aereo-no-rio/ …,[],[],0.0,0.0,0.0,
50,-3.0,procuradores e defensores federais acusam witzel de uso ilegal de “caveirão aéreo” no rio  https://www.diariodocentrodomundo.com.br/essencial/procuradores-e-defensores-federais-acusam-witzel-de-uso-ilegal-de-caveirao-aereo-no-rio/ …,[],[],0.0,0.0,0.0,
51,-3.0,procuradores e defensores federais acusam witzel de uso ilegal de “caveirão aéreo” no rio  https://www.diariodocentrodomundo.com.br/essencial/procuradores-e-defensores-federais-acusam-witzel-de-uso-ilegal-de-caveirao-aereo-no-rio/ …,[],[],15.0,1.0,0.0,
52,-3.0,despertador de favela eh caveirao aereo  pic.twitter.com/mcrh4pw5he,[],[],0.0,0.0,1.0,
53,-3.0,"bernardo mello franco: o governador chuck norris -  wilson witzel embarcou num “caveirão aéreo” para bancar o xerife em angra. para a oab, a ação desrespeitou decreto que proíbe atiradores em helicópteros  http://bit.ly/2yfpaz7   via @conteudo_livre",[],[],0.0,0.0,0.0,
54,-3.0,"bernardo mello franco: o governador chuck norris  wilson witzel embarcou num “caveirão aéreo” para bancar o xerife em angra. para a oab, a ação desrespeitou decreto que proíbe atiradores em helicópteros  http://bit.ly/2yfpaz7 ",[],[],1.0,0.0,0.0,
55,-3.0,caveirão aéreo  aterroriza são gonçalo  https://youtu.be/ekmyirxeejy  via @youtube,[],[],0.0,0.0,0.0,
56,-3.0,"quero fazer a terapia de não ter o blindado terrestre (caveirão) ou o blindado aéreo (helicóptero) passando disparando rajadas de grosso calibre, a esmo, na localidade meus filhos, filhas e eu vivemos. 😓",[],[],20.0,8.0,0.0,
57,-3.0,[26/3 06:13] velho: acorda seus fdps [26/3 06:13] velho: meter bala [26/3 06:14] velho: caveirao aéreo [26/3 06:14] velho: tá na área,[],[],0.0,0.0,0.0,
58,-3.0,armamento encontrado na casa do pm ronie lessa.....e governador witzel mandando metralhar as favelas dos rio de janeiro com o caveirão aéreo.  pic.twitter.com/x1gutuact2,[],['https://pbs.twimg.com/media/D1j7zPkW0AEs5Ju.jpg'],1.0,0.0,0.0,
59,-3.0,"tenho lido o jb, e parece que tem sniper em manguinhos e ""caveirão aéreo"" no alemão, se liguem.",[],[],0.0,0.0,0.0,
60,-3.0,governo do ww colocando o caveirão aéreo em ação na maré! aeronaves não devem ser usadas como plataforma de tiro! policiais não podem atirar a esmo contra pessoas na favela!   #caveirãonão #vidasnasfavelasimportam #paremdenosmatar https://twitter.com/redesdamare/status/1098614343783145475 …,"['#caveirãonão', '#vidasnasfavelasimportam', '#paremdenosmatar']",[],3.0,0.0,0.0,
61,-3.0,acordar com o caveirão aéreo bom dia privilegiadxs,[],[],0.0,0.0,0.0,
62,-3.0,é nessas horas que o caveirao aéreo tinha que surpreender largando o aço,[],[],0.0,0.0,0.0,
63,-3.0,"""era próximo ao meio dia de domingo quando um caveirão aéreo iniciou os disparos em direção daqueles que corriam no estilo ’’salvem-se quem puder”. toda a cena foi transmitida ao vivo pela tv globo, também de um helicóptero, enquanto jornalistas ocupavam a parte baixa da favela""  https://twitter.com/vozdacomunidade/status/1067906187260252162 …",[],[],0.0,0.0,0.0,
64,-3.0,"então guerreiro!!  a ideia é transmitir os abates ao vivo, junto com o café da manhã!! a partir da confirmação do globocop, o caveirão aéreo larga o aço!! nosso estado limpo e sua audiência no espaço!! é a nova era!!",[],[],0.0,0.0,0.0,
65,-3.0,#balançogeralrj    que lado ficou em vantagem com a proibição de operações policiais com o caveirão aéreo:  o criminoso ou a sociedade ?,['#balançogeralrj'],[],0.0,0.0,0.0,
66,-3.0,"sai do morro e minha tia me ligou falando que 2 caveirão aéreo estava rodeando o morro, para eu ir com deus. 🙏",[],[],0.0,0.0,0.0,
67,-3.0,"caveirão aéreo, não! helicóptero não pode ser usado como plataforma de tiro contra a população favelada. #tarcisionosbt #debatesbtrio pic.twitter.com/llw9pdwkl5","['#tarcisionosbt', '#debatesbtrio']",['https://pbs.twimg.com/media/DnfOfaVW4AADdZC.jpg'],30.0,2.0,0.0,
68,-3.0,caveirao aéreo 😱,[],[],0.0,0.0,0.0,
