"data","disparo","cidade","bairro","cod_bairro","local","outras_regioes","fonte","fonte2","tipo_operacao","media_fonte","media_link","presenca_civil","presenca_pmerj","presenca_uniao"
"31/10/2017",0,"Rio de Janeiro","Copacabana",24,"Tabajaras","-","SAER",,"ND",,,"SAER;CORE",,
"01/11/2017",0,"Rio de Janeiro","Vicente de Carvalho",73,"Juramento",,"GAM",,"ND",,,,,
"01/11/2017",0,"São Gonçalo",,,"São Gonçalo",,"SAER",,"ND",,,"SAER;CORE",,
"01/11/2017",0,"Rio de Janeiro","Mangueira",11,"Mangueira",,"SAER",,"ND",,,"SAER;CORE;DRFA",,
"02/11/2017",0,"São Gonçalo",,,,"-","SAER",,"ND",,,"SAER;CORE",,
"03/11/2017",0,"São Gonçalo",,,,"Niterói","SAER",,"ND",,,"SAER;CORE",,
"05/11/2017",0,"Rio de Janeiro","Maré",157,,,"SAER",,"ND",,,"SAER;CORE",,
"06/11/2017",0,"Rio de Janeiro","Maré",157,"Nova Holanda",,"GAM",,"ND",,,,,
"06/11/2017",0,"Rio de Janeiro","Jacarezinho",155,"Cidade da Polícia",,"SAER",,"ND",,,"SAER;CORE",,
"09/11/2017",0,"Rio de Janeiro","Rocinha",154,,"Vidigal","GAM",,"ND",,,,,
"11/11/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"11/11/2017",0,"São Gonçalo","Jardim Catarina",,,,"GAM",,"ND",,,,,
"12/11/2017",0,"Rio de Janeiro","Gamboa",2,"Providência",,"GAM",,"ND",,,,,
"14/11/2017",0,"Rio de Janeiro","Copacabana",24,"Morro dos Tabajaras","Cabritos","GAM",,"ND",,,,,
"16/11/2017",0,"Rio de Janeiro","Madureira",83,"Serrinha",,"GAM",,"ND",,,,,
"18/11/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"21/11/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"24/11/2017",0,"Rio de Janeiro","Santa Cruz",149,"Rola","Antares;Cesarão","GAM",,"ND",,,,,
"25/11/2017",0,"Rio de Janeiro","Galeão",104,"Vila Joaniza","Barbante","GAM",,"ND",,,,,
"01/12/2017",0,"Rio de Janeiro","Madureira",83,"Serrinha",,"GAM",,"ND",,,,,
"03/12/2017",0,"Rio de Janeiro","Magueira",11,"Mangueira",,"SAER",,"ND",,,"SAER;CORE",,
"05/12/2017",1,"Rio de Janeiro","Maré",157,"Vila do João","Vila dos Pinheiro;Conjunto Pinheiro;Salsa E Merengue","Nudedh","Defezap","ND","O Globo","https://oglobo.globo.com/rio/policial-civil-ferido-em-helicoptero-durante-operacao-em-favela-da-mare-22151844","SAER;CORE",,
"06/12/2017",0,"Rio de Janeiro","Rocinha",154,,"Vidigal","GAM",,"ND",,,,"GAM",
"06/12/2017",0,"Rio de Janeiro","Benfica",12,"Parque Arará",,"SAER",,"ND",,,"SAER;CORE",,
"06/12/2017",0,"São Gonçalo",,,,"Niterói","SAER",,"ND",,,"SAER;CORE",,
"08/12/2017",0,"Rio de Janeiro","Manguinhos",39,"Manguinhos",,"SAER",,"ND",,,"SAER;CORE",,
"11/12/2017",0,"Queimados",,,,,"SAER",,"ND",,,"SAER;DHBF",,
"13/12/2017",0,"São Gonçalo","Salgueiro",,,,"GAM",,"ND",,,,,
"13/12/2017",0,"Rio de Janeiro","Mangueira",11,,,"SAER",,"ND",,,"SAER;CORE",,
"14/12/2017",0,"São Gonçalo","Salgueiro",,,,"GAM",,"ND",,,,,
"16/12/2017",0,"Rio de Janeiro","Penha",43,"Kelson",,"GAM",,"ND",,,,,
"16/12/2017",0,"Rio de Janeiro","Benfica",12,"Parque Arará",,"SAER",,"ND",,,,,
"18/12/2017",0,"Rio de Janeiro","Estácio",9,"Morro do Zinco","São Carlos","GAM",,"ND",,,,,
"24/12/2017",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,,
"27/12/2017",0,"Rio de Janeiro","Rocinha",154,,"Parque da Cidade","GAM",,"ND",,,,,
"29/12/2017",0,"Itaguaí",,,,"Queimados","GAM",,"ND",,,,,
"01/01/2018",0,"Rio de Janeiro","Jacaré",51,,,"GAM",,"ND",,,,,
"01/01/2018",0,"Rio de Janeiro","Rocinha",154,,,"GAM",,"ND",,,,"CHOQUE",
"02/01/2018",0,"Rio de Janeiro","Jacaré",51,,,"GAM",,"ND",,,,,
"02/01/2018",0,"Niterói",,,,,"Twitter",,"ND",,,,,
"03/01/2018",0,"ND",,,,,"Twitter",,"ND",,,,,
"04/01/2018",0,"Rio de Janeiro","Catete",18,"Santo Amaro",,"Twitter",,"ND",,,,,
"06/01/2018",0,"Maricá","Jaconé",,"Sitío","Saquarema","SAER",,"ND","O Maricá","https://jornalomarica.com.br/2018/01/06/operacao-de-policiais-da-dhnsg-leva-pra-vala-3-bandidos-em-jacone-2/","SAER;DH",,
"06/01/2018",0,"Maricá","Jaconé",,,"Saquarema","SAER",,"ND",,,"SAER",,
"09/01/2018",0,"Niterói","Charitas",,"Morro do Preventório",,"SAER","Twitter","ND","Band News","http://bandnewsfmrio.com.br/editorias-detalhes/policia-militar-realiza-operacao-em-comunidad","SAER;CORE",,
"09/01/2018",0,"Macaé",,,"Lagomar",,"Twitter",,"ND",,,,,
"10/01/2018",0,"Macaé",,,,,"GAM",,"ND",,,,"GAM",
"11/01/2018",0,"Rio de Janeiro","Jacarepaguá",115,"Covanca","Barão","GAM",,"Combate a facções",,,,"GAM",
